szo_id	szo_ids	level	bbox	ocr	m1	m2	dontes	alak_igazolt	extra
word_000017_000000	word_000017_000000	17	[497, 116, 667, 155]	"ABvocos	{"szo_ids": ["word_000017_000000"], "alak": "Ἄβυσσος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000000"], "alak": "Ἄβυσσος", "nyelv": "grc", "extra": false}	auto	nem	nem
word_000017_000002	word_000017_000002	17	[1340, 111, 1510, 150]	"ABvacos	{"szo_ids": ["word_000017_000002"], "alak": "Ἄβυσσος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000002"], "alak": "Ἄβυσσος", "nyelv": "grc", "extra": false}	auto	nem	nem
word_000017_000010	word_000017_000010	17	[738, 219, 844, 264]	dur),	{"szo_ids": ["word_000017_000010"], "alak": "(as", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000010"], "alak": "ἀμήν", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000035	word_000017_000035	17	[1704, 272, 1723, 311]	7	{"szo_ids": ["word_000017_000035"], "alak": "7", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000035"], "alak": "ἡ", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000036	word_000017_000036	17	[1742, 267, 1829, 313]	apx?)	{"szo_ids": ["word_000017_000036"], "alak": "apx?", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000036"], "alak": "ἀρχὴ", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000038	word_000017_000038	17	[273, 331, 310, 364]	To	{"szo_ids": ["word_000017_000038"], "alak": "To", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000038"], "alak": "τὸ", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000039	word_000017_000039	17	[336, 330, 427, 367]	tédos	{"szo_ids": ["word_000017_000039"], "alak": "τέδος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000039"], "alak": "τέλος", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000042	word_000017_000042	17	[696, 331, 860, 373]	éyd—	{"szo_ids": ["word_000017_000042"], "alak": "ἐγώ", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000042"], "alak": "ἐγώ", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000043	word_000017_000043	17	[830, 323, 855, 380]	2	{"szo_ids": ["word_000017_000043"], "alak": "2", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000043"], "alak": "Ω", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000053	word_000017_000053	17	[203, 389, 328, 430]	mpatos	{"szo_ids": ["word_000017_000053"], "alak": "mpatos", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000053"], "alak": "πρῶτος", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000055	word_000017_000055	17	[423, 386, 503, 432]	éoy.,	{"szo_ids": ["word_000017_000055"], "alak": "éoy.,", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000055"], "alak": "ἔσχ", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000058	word_000017_000058	17	[616, 388, 738, 429]	x.7.d.);	{"szo_ids": ["word_000017_000058"], "alak": "x.7.d.);", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000058"], "alak": "κ.τ.λ", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000075	word_000017_000075	17	[839, 444, 1062, 485]	(*—n).—If,	{"szo_ids": ["word_000017_000075"], "alak": "(*—n).—If,", "nyelv": "lat", "extra": false}	{"szo_ids": ["word_000017_000075"], "alak": "א—ת", "nyelv": "heb", "extra": false}	vitas	nem	nem
