id	res	fejlec	tanulmany_szakaszok	hiany	megjegyzes
KIRALY-001	kivonat	## Kivonat *(kézi)*		igen	nincs kivonat-szakasz; új lesz (G10)
KIRALY-001	2b	### 2/b *(kézi, ha van)*		igen	nincs 2/b vagy 2/c fejléc a tanulmányban
KIRALY-001	miert_fontos	### Miért fontos ez a lelet *(kézi)*	2. Eredeti nyelvi összevetés	nem	
KIRALY-001	minosites	### Minősítés *(kézi)*		igen	nincs önálló minősítés-fejléc; a '4. Kapcsolódás a kutatási sablonhoz' prózájában lehet, ellenőrizendő
KIRALY-001	alatamasztas	### Alátámasztás *(kézi)*		igen	nincs 1/b Kapcsolatok fejléc (csak '1. Előfordulások összegyűjtése')
KIRALY-001	ertelmezes	## 6. Értelmezés *(kézi)*	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	nem	nincs önálló '⚠️ Vitatott pontok' alszakasz a 3. alatt
KIRALY-001	modszertan	## 7. Módszertan és nyitott kérdések *(kézi)*	0. Forrás-összegyűjtés a meglévő anyagból; 6. Napló-frissítés; Minőségi kapu (Quality Gate)	nem	
ISTENTISZT-001	kivonat	## Kivonat *(kézi)*		igen	nincs kivonat-szakasz; új lesz (G10), a lexikonoldal kivonatával (G8)
ISTENTISZT-001	2b	### 2/b. Kiegészítő szótári adatok *(kézi)*		igen	a 2/b csak a lexikonoldalon él ma; a G8 szerint a lexikonoldal rése kerül vissza a tanulmányba (l. R0.8.5)
ISTENTISZT-001	miert_fontos	### Miért fontos ez a lelet *(kézi)*	2. Eredeti nyelvi összevetés	nem	a lexikonoldal rése a G8 szerint felváltja ezt a szakaszt (l. R0.8.5)
ISTENTISZT-001	minosites	### Minősítés *(kézi)*		igen	nincs önálló minősítés-fejléc; a lexikonoldal rése a G8 szerint ide kerül vissza (l. R0.8.5)
ISTENTISZT-001	alatamasztas	### Alátámasztás *(kézi)*	1/b. Kapcsolatok — a KAPCSOLATOK Típus-mező szerint strukturálva	nem	a lexikonoldal rése a G8 szerint felváltja ezt a szakaszt (l. R0.8.5)
ISTENTISZT-001	ertelmezes	## 6. Értelmezés *(kézi)*	3. A PaRDeS keretrendszer — a motívum egészére alkalmazva	nem	nincs önálló Vitatott pontok alszakasz; a lexikonoldal rése a G8 szerint felváltja (l. R0.8.5)
ISTENTISZT-001	modszertan	## 7. Módszertan és nyitott kérdések *(kézi)*	0. Forrás-összegyűjtés a meglévő anyagból (retroaktívan pótolva); 6. Napló-frissítés; Minőségi kapu (Quality Gate)	nem	a lexikonoldal rése a G8 szerint felváltja (l. R0.8.5); a 3 NAPLO-blokk közül az egyik a G13 szerint lezárul a 2. menetben
TEREMT-001	kivonat	## Kivonat *(kézi)*		igen	nincs kivonat-szakasz; új lesz (G10)
TEREMT-001	2b	### 2/b *(kézi, ha van)*	2/b. Kiterjesztés — a tehóm teljes bibliai előfordulási mezője; 2/c. Görög visszhang — a teljes ábüσσος-tábla	nem	
