id	tanulmany	sor	szoveg	tanulmany_ertek	adat_ertek	hatokor	megjegyzes
KIRALY-001	Melkizedek_tematikus.md	117	【NAPLO: a Zak 6:13 ↔ Zsolt 110:4 kapcsolatot a TSK is önállóan, 9 szavazattal megerősíti.	9 (TSK-szavazat)	nincs megfelelő adat/*.tsv mező	nem motívum-számláló	TSK belső "szavazat" mutató (kereszthivatkozás-forrás gyakorisága), nem az adat/kapcsolatok.tsv sorszáma; nem összevethető
ISTENTISZT-001	Segitsegul_hivni_az_Urat_tematikus.md	5	a motívum a Genezisen belül 3 előfordulásnál (4:26 → 12:8 → 13:4) érte el a ⭐ küszöböt	3	3 (1Móz 4:26, 12:8, 13:4 — mind szerepel az adat/elofordulasok.tsv-ben)	motívum-részhalmaz	egyezik; a küszöb-esemény a Genezisen belüli első 3 előfordulásra vonatkozik, nem a teljes 32-es számra
ISTENTISZT-001	Segitsegul_hivni_az_Urat_tematikus.md	144	a Septuaginta 15 a 17 igehelyből az epikaleomai igét használja	15/17	nincs önálló LXX-hídszámláló adat/*.tsv-ben; a 22 ÓSZ-igehelyből az invokációs formula 17 helyén értelmezhető LXX-megfelelés	nem motívum-fő-számláló	LXX-bridge altéma (a formula ÓSZ-oldali LXX-fordítása), nem a motívum 22/10/32-es alapszáma; belső konzisztencia ellenőrizhető lekerdez.py lxx-hid móddal, R0.8-on túli mélység
ISTENTISZT-001	Segitsegul_hivni_az_Urat_tematikus.md	146	A teljes G1941 előfordulás-lista egyenkénti áttekintése (31 előfordulás); további 6; egy kizárt; fennmaradó 24	31 = 6+1+24	nincs adat/*.tsv-ben (a G1941 teljes ÚSZ-korpusz-előfordulása, nem csak a motívum 10 ÚSZ-igehelye)	nem motívum-fő-számláló	belsőleg konzisztens (6+1+24=31); a motívum ÚSZ-oldali 10 igehelye ennek csak egy részhalmaza (a 6 újonnan azonosított + a 4 korábbi formula-hely); nem elavult, csak más hatókörű szám
TEREMT-001	Tehom_tematikus.md	108	TAGNT-kivonat G0012 teljes scanje — 9 előfordulás, teljes egyezés, nincs új	9	7 egyedi igehely (ÚSZ) az adat/elofordulasok.tsv-ben (Luk 8:31, Róm 10:7, Jel 9:1-2, 9:11, 11:7, 17:8, 20:1-3)	motívum-alapszám, más mértékegység	a 9 szóelőfordulás és a 7 egyedi igehely nem mond ellent egymásnak: Jel 9:1-2 (2 szóelőfordulás/1 igehely-sor) és Jel 20:1-3 (2 szóelőfordulás, 20:1 és 20:3/1 igehely-sor) — 7 sor, 9 szóelőfordulás, konzisztens
TEREMT-001	Tehom_tematikus.md	162	H8415 teljes ÓSZ-scan — 35 szóelőfordulás, 34 egyedi vers, 28 egyedi igehely a 6 alap-versen felül, 3 eddig dokumentálatlan	34 egyedi vers	34 (ÓSZ igehely az adat/elofordulasok.tsv-ben)	egyezik	a 34 egyedi vers pontosan megegyezik az adat/elofordulasok.tsv TEREMT-001 ÓSZ-sorainak (34) számával
ALVIL-001	Hadesz_Seol_tematikus.md	14	a fájl-kiszervezéssel egyidejűleg a bejegyzés 4→6 előfordulásra frissül	4→6 (történeti)	72 (jelenlegi összes, 64 ÓSZ/8 ÚSZ)	elavult, de történeti utalás	a `PaRDeS_motivumok.md` fájl (a mai adat/motivumok.tsv elődje) egy korábbi állapotára utaló, dátumozott bejegyzés; nem a jelenlegi számra vonatkozó állítás, javítást nem igényel — l. kérdés a jelentésben, hogy az ilyen történeti utalásokat érintse-e a G9(a) számjavítás
MENNY-001	Isten_fiai_Nefilim_Gibborim_tematikus.md	11	a בְּנֵי (הָ)אֱלֹהִים pontos szórendi minta teljes ellenőrzése — 5 előfordulás megerősítve	5	9 (összes MENNY-001 igehely, 6 ÓSZ/3 ÚSZ) — a bené-elohim minta ennek részhalmaza	motívum-részhalmaz	az 5 a בְּנֵי (הָ)אֱלֹהִים lexikai almintára vonatkozik, nem a teljes motívum-komplexumra (amely a נְפִלִים-et is tartalmazza); nem elavult, más hatókörű szám
MENNY-001	Isten_fiai_Nefilim_Gibborim_tematikus.md	147	בְּנֵי (הָ)אֱלֹהִים minta 5 előfordulása megerősítve, új nem került elő	5	9 (összes MENNY-001 igehely)	motívum-részhalmaz	ugyanaz a részhalmaz-szám, konzisztens a 11. sorral
ANTROP-001	Pneuma_pszukhe_megkulonboztetes_tematikus.md	3	ötödik előfordulás felvéve: 1Kor 2:14-15	5. (sorszám, nem darabszám)	8 (jelenlegi összes ANTROP-001 igehely)	elavult, de dátumozott verziótörténet	a v3 (2026.08.22) bejegyzés a felvétel pillanatában érvényes állapotot rögzíti (akkor lett az 5. előfordulás); a mai tábla 8 igehelyet tart nyilván — a sorban NEM állítás arról, hogy ma is 5 lenne az összes, csak a bővítés eseményét dokumentálja
ANTROP-001	Pneuma_pszukhe_megkulonboztetes_tematikus.md	99	a PaRDeS_motivumok naplóban... 5 előfordulással	5	8	elavult, de idézett külső napló-állapot	a `PaRDeS_motivumok.md` napló egy korábbi (5 elemű) állapotát idézi; a mai adat/motivumok.tsv + adat/elofordulasok.tsv 8-at tart nyilván — l. kérdés a jelentésben
HODIT-001	Rafaim_tematikus.md	13	a PaRDeS_motivumok_v34.md naplóban ez a motívum önmagában még csak 1 előfordulásnál tart	1	33	elavult, de dátumozott verziótörténet	a küszöb-esemény leírása (mikor ért el a motívum ⭐ 3-at), nem a mai állapot állítása
