strong	cimke	pontossag	terminologia	magyar	formai	osszesen	megjegyzes
G0002	A	3	2	3	2	10	hű, teljes
G0002	B	0	1	1	0	2	csak a jelentés maradt, fejléc/etimológia/igehelyek hiányoznak; „a mózesi testvér”
G0002	C	1	1	2	1	5	az első fele angolul maradt
G0002	D	3	2	3	2	10	hű, teljes („ékesszóló” jó)
G0002	E	1	1	2	0	4	sérült héber (אָהַR, הַR), ὀρεινós; „indeclinable proper name” kimaradt
G0002	F	3	1	2	2	8	„Syriac” fordítatlan; „ami egyenlő ὀρεινός” döcög
G0004	A	2	2	3	2	9	„az én részem miatt” félrevisz
G0004	B	2	2	2	1	7	sérült görög (ἐτήρηsa); „lefelé” tükörfordítás; igeidő hibás
G0004	C	1	1	3	0	5	címszó/etimológia, „6.” és „(From Aristotle down.)” kimaradt; 1Th nem Károli
G0004	D	3	2	2	2	9	mondatközi nagybetű („Elkerültem”)
G0004	E	3	2	3	2	10	hű, teljes
G0004	F	2	2	3	2	9	„on my account” kimaradt
G0012	A	3	2	2	2	9	„Róma Kelemen”; egyébként teljes
G0012	B	1	1	1	0	3	sérült címszó (ἄβyszoszz, βυθósszal); „a Sept. helyett תְּהום” félreértés; angol maradványok
G0012	C	2	1	2	1	6	τῆς τῆς (γῆς helyett); „Istentől” („Istenről”); Kelemen-levél Károli-rövidítéssel; f→k
G0012	D	1	1	2	1	5	2Móz 7:11 (1Móz helyett!); etimológia összekuszálva; „Clement of Rome”, „under the word” fordítatlan
G0012	E	3	1	3	1	8	„the Sept.” egy helyen fordítatlan; egyébként igényes
G0012	F	1	1	1	1	4	fejléc és klasszikus rész kimaradt; „Kelemen Római”; „Isten”, „a sárkány” vonatkozás elveszett
G0035	A	3	2	3	2	10	hű, teljes
G0035	B	3	2	3	2	10	hű, teljes
G0035	C	0	0	2	0	2	csak „genealógia nélküli” — gyakorlatilag az egész hiányzik
G0035	D	3	2	2	2	9	„Ó. Sz.-ben” esetlen
G0035	E	3	2	3	2	10	hű, teljes
G0035	F	1	2	3	0	6	címszó kimaradt; a görög idézetet lefordította („nem származtatva”)
G0086	A	3	2	3	1	9	ἄβυσσos sérülés; egyébként teljes
G0086	B	3	2	3	2	10	hű, teljes
G0086	C	2	1	2	1	6	„1Sám 22:6” (2Sám helyett); chapter/vol./pp./marginal reading fordítatlan
G0086	D	0	0	2	0	2	egymondatos összefoglaló — a szócikk gyakorlatilag hiányzik
G0086	E	2	1	2	1	6	שְׁאולot sérült héber; „megtestesüléstől megfosztott”; cf:, pp., marginal reading
G0086	F	3	1	3	1	8	angol maradványok (marginal reading, chapter, vol.)
G0282	A	3	2	3	2	10	hű, teljes
