strong	cimke	modell
G0002	A	google/gemini-3.8-flash
G0002	B	openai/gpt-4o-mini
G0002	C	anthropic/claude-haiku-4.5
G0002	D	google/gemini-3.1-flash-lite
G0002	E	qwen/qwen3.7-flash
G0002	F	deepseek/deepseek-v4-flash
G0004	A	anthropic/claude-haiku-4.5
G0004	B	qwen/qwen3.7-flash
G0004	C	openai/gpt-4o-mini
G0004	D	deepseek/deepseek-v4-flash
G0004	E	google/gemini-3.8-flash
G0004	F	google/gemini-3.1-flash-lite
G0012	A	anthropic/claude-haiku-4.5
G0012	B	qwen/qwen3.7-flash
G0012	C	deepseek/deepseek-v4-flash
G0012	D	google/gemini-3.1-flash-lite
G0012	E	google/gemini-3.8-flash
G0012	F	openai/gpt-4o-mini
G0035	A	google/gemini-3.8-flash
G0035	B	google/gemini-3.1-flash-lite
G0035	C	openai/gpt-4o-mini
G0035	D	anthropic/claude-haiku-4.5
G0035	E	deepseek/deepseek-v4-flash
G0035	F	qwen/qwen3.7-flash
G0086	A	google/gemini-3.8-flash
G0086	B	deepseek/deepseek-v4-flash
G0086	C	anthropic/claude-haiku-4.5
G0086	D	openai/gpt-4o-mini
G0086	E	qwen/qwen3.7-flash
G0086	F	google/gemini-3.1-flash-lite
G0282	A	google/gemini-3.1-flash-lite
G0282	B	openai/gpt-4o-mini
G0282	C	qwen/qwen3.7-flash
G0282	D	anthropic/claude-haiku-4.5
G0282	E	deepseek/deepseek-v4-flash
G0282	F	google/gemini-3.8-flash
G0540	A	openai/gpt-4o-mini
G0540	B	google/gemini-3.1-flash-lite
G0540	C	qwen/qwen3.7-flash
G0540	D	deepseek/deepseek-v4-flash
G0540	E	anthropic/claude-haiku-4.5
G0540	F	google/gemini-3.8-flash
G0813	A	google/gemini-3.8-flash
G0813	B	qwen/qwen3.7-flash
G0813	C	openai/gpt-4o-mini
G0813	D	deepseek/deepseek-v4-flash
G0813	E	anthropic/claude-haiku-4.5
G0813	F	google/gemini-3.1-flash-lite
G0994	A	google/gemini-3.8-flash
G0994	B	deepseek/deepseek-v4-flash
G0994	C	anthropic/claude-haiku-4.5
G0994	D	qwen/qwen3.7-flash
G0994	E	openai/gpt-4o-mini
G0994	F	google/gemini-3.1-flash-lite
G1311	A	anthropic/claude-haiku-4.5
G1311	B	google/gemini-3.1-flash-lite
G1311	C	qwen/qwen3.7-flash
G1311	D	google/gemini-3.8-flash
G1311	E	deepseek/deepseek-v4-flash
G1311	F	openai/gpt-4o-mini
G1941	A	google/gemini-3.1-flash-lite
G1941	B	deepseek/deepseek-v4-flash
G1941	C	openai/gpt-4o-mini
G1941	D	qwen/qwen3.7-flash
G1941	E	google/gemini-3.8-flash
G1944	A	google/gemini-3.8-flash
G1944	B	openai/gpt-4o-mini
G1944	C	google/gemini-3.1-flash-lite
G1944	D	qwen/qwen3.7-flash
G1944	E	anthropic/claude-haiku-4.5
G1944	F	deepseek/deepseek-v4-flash
G2671	A	deepseek/deepseek-v4-flash
G2671	B	qwen/qwen3.7-flash
G2671	C	google/gemini-3.1-flash-lite
G2671	D	anthropic/claude-haiku-4.5
G2671	E	google/gemini-3.8-flash
G2671	F	openai/gpt-4o-mini
G2672	A	anthropic/claude-haiku-4.5
G2672	B	google/gemini-3.8-flash
G2672	C	openai/gpt-4o-mini
G2672	D	google/gemini-3.1-flash-lite
G2672	E	deepseek/deepseek-v4-flash
G2672	F	qwen/qwen3.7-flash
G3777	A	google/gemini-3.8-flash
G3777	B	openai/gpt-4o-mini
G3777	C	anthropic/claude-haiku-4.5
G3777	D	google/gemini-3.1-flash-lite
G3777	E	deepseek/deepseek-v4-flash
G3777	F	qwen/qwen3.7-flash
G4151	A	deepseek/deepseek-v4-flash
G4151	B	openai/gpt-4o-mini
G4151	C	anthropic/claude-haiku-4.5
G4151	D	qwen/qwen3.7-flash
G4151	E	google/gemini-3.8-flash
G4151	F	google/gemini-3.1-flash-lite
G5010	A	anthropic/claude-haiku-4.5
G5010	B	qwen/qwen3.7-flash
G5010	C	google/gemini-3.1-flash-lite
G5010	D	google/gemini-3.8-flash
G5010	E	deepseek/deepseek-v4-flash
G5010	F	openai/gpt-4o-mini
G5351	A	deepseek/deepseek-v4-flash
G5351	B	anthropic/claude-haiku-4.5
G5351	C	qwen/qwen3.7-flash
G5351	D	google/gemini-3.1-flash-lite
G5351	E	openai/gpt-4o-mini
G5351	F	google/gemini-3.8-flash
G5356	A	google/gemini-3.8-flash
G5356	B	deepseek/deepseek-v4-flash
G5356	C	qwen/qwen3.7-flash
G5356	D	google/gemini-3.1-flash-lite
G5356	E	anthropic/claude-haiku-4.5
G5356	F	openai/gpt-4o-mini
G5590	A	google/gemini-3.1-flash-lite
G5590	B	qwen/qwen3.7-flash
G5590	C	deepseek/deepseek-v4-flash
G5590	D	google/gemini-3.8-flash
G5590	E	anthropic/claude-haiku-4.5
G5590	F	openai/gpt-4o-mini
