id	sor_szam	szoveg	megjegyzes
KIRALY-001	57	| **Zak 6:13** | "…pap lesz az ő királyi székén (כֹהֵן עַל־כִּסְאוֹ, *kohén al-kiszó*)" — próféciai kép egyetlen alakról, aki egyszerre ül a trónon és visel papi tisztséget. A BDB H3548 lexikai "pap-király" jelentése ezt...	
KIRALY-001	115	**Grammatikai/szerzői konzisztencia:** mindhárom réteg (Genezis-elbeszélő, Dávid zsoltára, a Zsidókhoz írt levél) más szerzőtől, más korból származik, és a köztük lévő kapocs nem szó szerinti idézetlánc, hanem egy név + ...	
KIRALY-001	117	【NAPLO: a Zak 6:13 ↔ Zsolt 110:4 kapcsolatot a TSK is önállóan, 9 szavazattal megerősíti. A Q3 elhatárolás (lexikai vs. tematikus kapcsolat szétválasztása) szerint ez a kapcsolat nem igényel "tematikus, nem lexikai" jelö...	
KIRALY-001	147	**(b) A Gen 14 ↔ Zsolt 110 kapcsolat iránya** — két, egymással szemben álló olvasat létezik a tudományos irodalomban:	
ISTENTISZT-001	5	**Feldolgozási küszöb:** a motívum a Genezisen belül 3 előfordulásnál (4:26 → 12:8 → 13:4) érte el a ⭐ küszöböt (napló v38–v40). Felhasználói jóváhagyással készült el az önálló tematikus feldolgozás, kiegészítő kutatássa...	
ISTENTISZT-001	144	**Görög megfelelő (LXX és ÚSZ):** a Septuaginta **15 a 17 igehelyből** az **ἐπικαλέομαι** (*epikaleomai*, G1941, medium/passzív alak — "segítségül hívni [magának], invokálni") igét használja (néhány helyen — Sof 3:9, 1Kr...	
ISTENTISZT-001	146	**A teljes G1941 előfordulás-lista egyenkénti áttekintése (31 előfordulás):** további 6, azonos "segítségül hívás" jelentésű helyet azonosított (1Kor 1:2, 2Tim 2:22, 1Pét 1:17, ApCsel 9:14, 9:21, 22:16 — l. 1. pont), és ...	
ISTENTISZT-001	192	- **Kenneth Hagin — ✅ erős/közvetlen forrás.** Hagin *"Understanding Confession"* c. füzetében és *"Confession: Key to Unlocking Faith"* c. tanításában kifejezetten, dedikáltan a Róm 10:9-10 verspárra épül, amely lexikai...	
ISTENTISZT-001	209	**2026.09.05-i teljes v12-compliance frissítés:** a TAHOT-adathiány javítása után lefuttatott, pozíció-alapú frázis-keresés (`eszkozok/frazis_kereses_pozicio_alapon.py`), BDB szótári idézet-ellenőrzés, TSK-kereszthivatko...	
ISTENTISZT-001	217	【NAPLO: v1 → v2 bővítés, 2026.09.08, chat-munkamenet. Friss négyforrásos újraaudit, a Melkizedek-study v2-jével azonos módszertannal — nem inkrementális kiegészítés, hanem a teljes meglévő tartalom ellenőrzése is (a korá...	
