fajl	res	bajt	helyorzo	fejlecsor
lexikon/ALVIL-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/ALVIL-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/ALVIL-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/ALVIL-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/ALVIL-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/ALVIL-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/ALVIL-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/ANTROP-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/ANTROP-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/HAMART-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/HAMART-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/HODIT-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/HODIT-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	kivonat	992	nem	## Kivonat *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	2b	9232	nem	### 2/b. Kiegészítő szótári adatok *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	miert_fontos	2207	nem	### Miért fontos ez a lelet *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	minosites	5079	nem	### Minősítés *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	alatamasztas	4804	nem	### Alátámasztás *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	ertelmezes	10770	nem	## 6. Értelmezés *(kézi)*
lexikon/ISTENTISZT-001_TUDOMANYOS.md	modszertan	8263	nem	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/KIRALY-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/KIRALY-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/MENNY-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/MENNY-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	kivonat	168	igen	## Kivonat *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	2b	55	igen	### 2/b *(kézi, ha van)*
lexikon/TEREMT-001_TUDOMANYOS.md	miert_fontos	60	igen	### Miért fontos ez a lelet *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	minosites	106	igen	### Minősítés *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	alatamasztas	51	igen	### Alátámasztás *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	ertelmezes	157	igen	## 6. Értelmezés *(kézi)*
lexikon/TEREMT-001_TUDOMANYOS.md	modszertan	162	igen	## 7. Módszertan és nyitott kérdések *(kézi)*
