# T1.1 munkalap (TEREMT002_KUTATAS_BRIEF.md) -- adat/jeloltek.tsv alakjában, betöltés a T1.3-ban. Sema: adat/SEMA.md 2.4
id	igehely	forras_kereses	dontes	indoklas	karoli_szo	azonositas_modja	megbizhatosag	datum
TEREMT-002	1Móz 1:2	scan H8414; scan H0922; kollokacio H8414+H0922; TSK Jer 4:23 (Votes=21)	nyitva	T1: minősítetlen (G4). A tohu+bohu pár kollokációs találata; gerinc_elem-javaslat (G5): tohu+bohu.				2026.09.25
TEREMT-002	1Sám 12:21	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	5Móz 32:10	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Jer 4:23	scan H8414; scan H0922; kollokacio H8414+H0922; TSK 1Móz 1:2 (Votes=84)	nyitva	T1: minősítetlen (G4). A tohu+bohu pár kollokációs találata; gerinc_elem-javaslat (G5): tohu+bohu.				2026.09.25
TEREMT-002	Jób 6:18	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Jób 12:24	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Jób 26:7	scan H8414; TSK 1Móz 1:2 (Votes=35)	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Zsolt 107:40	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Ézs 24:10	scan H8414; TSK Ézs 34:11 (Votes=2)	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Ézs 29:21	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Ézs 34:11	scan H8414; scan H0922; kollokacio H8414+H0922	nyitva	T1: minősítetlen (G4). A tohu+bohu pár kollokációs találata; gerinc_elem-javaslat (G5): tohu+bohu.				2026.09.25
TEREMT-002	Ézs 40:17	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
TEREMT-002	Ézs 40:23	scan H8414	nyitva	T1: minősítetlen (G4). Önálló H8414-előfordulás, bohu nélkül; gerinc_elem-javaslat (G5): tohu.				2026.09.25
