id	jelolt	tipus	forras_naplo	indoklas
HAMART-001	Jer 17:9	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	"Csalárdabb a szív mindennél" — a szív romlottsága a **"jetzer — a szív romlott hajlama"** motívum tárgya, amely a naplóban önálló tételként szerepel. Kereszt-motívum szennyeződés elkerülése (Q4)
HAMART-001	Jer 4:14	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Ugyanaz az indok, mint Jer 17:9-nél
HAMART-001	Préd 7:29, Préd 9:3	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Antropológiai általánosítás az emberi szívről; nem a következmény-terjedésről
HAMART-001	Róm 1:28, 1:31	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A "kivetett elme" páli katalógusa — hamartológiai rokon, de sem lexikai kapocs, sem a terjedés-szerkezet nincs meg benne
HAMART-001	Ef 2:1, 2:3	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	"Természet szerint a harag fiai" — az öröklött bűnösség kérdése, amelyet a study explicit módon NEM dönt el (l. ⚠️ Vitatott pontok)
HAMART-001	Tit 3:3	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Megtérés előtti életmód-katalógus; nincs lexikai vagy szerkezeti kapocs
HAMART-001	Jób 5:6-7, Jób 14:1, Jób 21:17, Préd 1:2-3, 1:13-14, 2:11, 2:17, 2:22-23, 5:17, Zsolt 90:7,9, Zsolt 127:2	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Az emberi fáradság/hiábavalóság bölcsességirodalmi toposza. A Zsolt 127:2 kivételesen tartalmazza a rokon H6089 עֶצֶב szót, de nem a H6093 *itzávón*-t — a három *itzávón*-hely a Genezisre korlátozódik
HAMART-001	Luk 19:22, Mt 25:26-27, Mt 22:12, Mt 25:45, 1Sám 15:23-24, Jer 7:23-24, Róm 3:19	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Engedetlenség/számonkérés általános témája; nincs kapocs a föld-átok szerkezethez
HAMART-001	Zsolt 104:2, 104:14-15, Zsolt 90:3, Jób 1:21, Róm 14:2	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A "mezőnek fűve" táplálék-motívuma; nem a tövis-átok
HAMART-001	Péld 22:5, Péld 24:31, Ézs 5:6, Ézs 7:23, Ézs 32:13, Jer 4:3, Jer 12:13, Józs 23:13, Mt 13:7, Jób 5:5, Jób 31:40	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Tövis/bogáncs mint kép, de **nem** a LXX 1Móz 3:18 kettős szókapcsolatával (ἄκανθα + τρίβολος együtt) — ezt kizárólag a Zsid 6:8 hozza. A Jób 31:40 héberül más szavakat használt (חוֹחַ, בָּאְשָׁה)
HAMART-001	5Móz 29:19, 29:21, 5Móz 28:15, 28:20, 28:23-24, 28:65-66, 3Móz 26:20, 26:36	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Szövetségi átok-szakaszok, amelyek **nem** az *arar* igét használják (a H0779-scan szerint az 5Móz-ből csak a 27:15-26 és 28:16-19 verssorok tartalmazzák)
HAMART-001	Ézs 26:21, Jel 12:16	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A föld mint vért befogadó/kivető szereplő — l. a Jób 16:18-nál írt indoklást, ugyanaz a másik motívum
HAMART-001	Hós 9:17, Zsolt 109:10, Jer 20:3-4	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Bujdosás/száműzetés mint büntetés; a *adamá* kulcsszó nélkül
HAMART-001	1Móz 10:9, 1Móz 13:13	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Nimród, ill. Sodoma — a naplóban mindkettő önálló motívum ("vadász gyök", "Sodoma bűnössége")
HAMART-001	Luk 1:6, Róm 2:13, Róm 3:19, 2Krón 34:27	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Az "Isten előtt" (לִפְנֵי) kifejezés kapcsán felhozott helyek; nem a motívumhoz
HAMART-001	Péld 15:3, 1Móz 18:21, Zsolt 33:13-14, Jób 22:15,17, Jób 33:27, Luk 3:6	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Az "Isten látja/letekint" toposza, ill. a "minden test" kifejezés — nem a *sáchat* szerkezethez
HAMART-001	1Pét 3:19-20, 2Pét 2:5, Zsid 11:7	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Noé alakja és az özönvíz-narratíva újszövetségi felidézése; a **motívum** (az átok/romlás terjedése) nem tárgyuk
HAMART-001	Ez 7:2, 7:6, Ámós 8:2, Jer 51:13	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A "vég elérkezett" (קֵץ) formula — valódi prófétai visszautalás lehet a 6:13-ra, de **más kulcsszóval**; önálló motívum-jelöltként érdemes lehet külön vizsgálatra, a jelen gerinchez nem tartozik
HAMART-001	Jer 4:23, 4:28	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A Jer 4:23 a naplóban már rögzített **"תהו/בהו — teremtés-visszavonás"** motívum (`[ID: TEREMT-002]`) tagja — kereszt-motívum szennyeződés elkerülése (Q4)
HAMART-001	1Pét 4:7	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	"Mindeneknek vége elközelgetett" — eszkatológiai formula, l. az Ez 7:2-nél írt indoklást
HAMART-001	**H0779 (*arar*)** — 1Móz 27:29, 49:7; 2Móz 22:28; 4Móz 5:18,19,22,24,27; 4Móz 22:6, 22:12, 23:7, 24:9; Józs 6:26, 9:23; Bír 5:23, 21:18; 1Sám 14:24, 14:28, 26:19; 2Kir 9:34; Jób 3:8; Zsolt 119:21; Jer 11:3, 20:14, 20:15, 48:10; Mal 1:14, 2:2, 3:9	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Az *arar* itt rituális, jogi vagy indulati átok-kimondás (áldás-átok formula pátriárkai áldásban, keserű víz próbája, Bálám, eskü, önátok, prófétai feddés) — **nincs meg a következmény-terjedés szerkezete**: nem egy elkövetett tett hatása száll át egy harmadik közegre. A *arar* önmagában nem a motívum, csak annak egyik eszköze; a motívum a *arar* + *adamá* együttállásán és a fokozási soron áll
HAMART-001	**H2555 (*chámász*)** — a 12 beépített igehelyen kívüli 47	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	*chámász* általános használatban ("erőszakos ember", "hamis tanú", "erőszakkal szerzett bor" stb.), a *málé* vagy *sáma* kollokáció nélkül. Külön megjegyzés a két genezisi helyről: **1Móz 16:5** (Szárai panasza: "bántódásom van miattad") és **1Móz 49:5** ("erőszak eszközei az ő fegyverök") — genezisi *chámász*-előfordulások, de az elsőben személyközi sérelem, a másodikban fegyverjelző; egyik sem a föld megtelésének szerkezete
HAMART-001	**H7843 (*sáchat*)** — a 8 beépített igehelyen kívüli 127	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A *sáchat* az ÓSZ egyik leggyakoribb "elpusztít/elront" igéje (városok, szőlő, edény, nép elpusztítása); a motívumhoz kizárólag az a használat tartozik, ahol az **erkölcsi megromlás** és az **ítélet** ugyanazzal az igével áll
HAMART-001	**H7843 Hif'íl-alakok** — 2Krón 34:11, Ézs 37:12, Jer 36:29, 49:9, 51:20, Dán 8:24	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Fizikai pusztítás (épületek, országok, szőlő), nem erkölcsi megromlás
HAMART-001	**H0127 (*adamá*)** — a beépítetteken kívül	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Túl gyakori köznyelvi főnév ("termőföld, ország") ahhoz, hogy önmagában lexikai kapcsolatot jelentsen; a motívumhoz csak a *arar*/*itzávón*/*sáchat* melletti együttállásban tartozik. **Genezisen belüli határeset:** 1Móz 6:1 ("elkezdtek megsokasodni a föld színén"), 6:20, 8:8, 8:13, 9:2, 9:20 — semleges, narratív használat, nem az átok-szerkezetben
HAMART-001	**H2403 (*chattát*)** — a 1Móz 4:7-en kívüli 270	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A szó túlnyomó részt a levitikus bűnáldozat-rendszer technikai terminusa (BDB: "sin-offering"); a motívumhoz kizárólag az első, Genezis 4:7-beli, személyesített használat tartozik
HAMART-001	**G2672 (*kataraomai*)** — Mt 5:44, Mt 25:41, Mk 11:21, Luk 6:28, Róm 12:14, Jak 3:9	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Emberi átkozódás (ellenség átkozása, fügefa, embertárs) — a Mt 25:41 ("Távozzatok tőlem, ti átkozottak") eszkatológiai ítélet-formula, de nem a genezisi lánc folytatása
HAMART-001	**G2671 (*katara*)** — Jak 3:10, 2Pét 2:14	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Jak 3:10 emberi beszéd (áldás és átok ugyanabból a szájból); 2Pét 2:14 "átok gyermekei" — jellemzés, nem a motívum
HAMART-001	**G5351 (*ftheiró*)** — 1Kor 3:17, 15:33, 2Kor 7:2, 11:3, Ef 4:22, 2Pét 2:12, Júd 1:10	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A szócsalád tagjai, de nem a 1Móz 6:11-13 szerkezetében (templom megrontása, jó erkölcs megrontása, elme megrontása)
HAMART-001	**G5356 (*fthorá*)** — 1Kor 15:42, 15:50, Gal 6:8, Kol 2:22, 2Pét 1:4, 2:12, 2:19	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	A "romlandóság" antropológiai/eszkatológiai használatban (feltámadás-test, testi vetés); kizárólag a Róm 8:21 köti a teremtett világ állapotához
HAMART-001	**G1311 (*diaftheiró*)** — Luk 12:33, 2Kor 4:16, 1Tim 6:5, Jel 8:9	elutasitva	tematikus_lezart/naplok/Bun_kovetkezmenyeinek_gyuruzese_kereszthivatkozas_naplo.md	Moly rágása, külső ember romlása, elme megromlása, tengeri hajók pusztulása — nem a 6:12-13 tükör-szerkezet
