szo_id	szo_ids	level	bbox	ocr	m1	m2	dontes	alak_igazolt	extra
word_000017_000010	word_000017_000010	17	[738, 219, 844, 264]	dur),	{"szo_ids": ["word_000017_000010"], "alak": "ἡ ἀρχὴ καὶ τὸ τέλος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000010"], "alak": "ἀμήν", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000035	word_000017_000035,word_000017_000036	17	[1704, 267, 1829, 313]	7 apx?)	{"szo_ids": ["word_000017_000035", "word_000017_000036"], "alak": "ἐγώ — Ω", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000035"], "alak": "ἡ", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000036"], "alak": "ἀρχὴ", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000162	word_000017_000162,word_000017_000163,word_000017_000164,word_000017_000165	17	[198, 763, 529, 815]	Joed. grat. ii. 8.5.	{"szo_ids": ["word_000017_000162", "word_000017_000163", "word_000017_000164", "word_000017_000165"], "alak": "πρῶτος καὶ ἔσχατος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000162", "word_000017_000163"], "alak": "foed", "nyelv": "lat", "extra": false}	vitas	nem	nem
word_000017_000053	word_000017_000053,word_000017_000054,word_000017_000055	17	[203, 386, 503, 432]	mpatos Kal éoy.,	{"szo_ids": ["word_000017_000053", "word_000017_000054", "word_000017_000055"], "alak": "ἡ ἀβύσσος", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000053"], "alak": "πρῶτος", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000054"], "alak": "καὶ", "nyelv": "grc", "extra": true}, {"szo_ids": ["word_000017_000055"], "alak": "ἔσχ", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000075	word_000017_000075	17	[839, 444, 1062, 485]	(*—n).—If,	{"szo_ids": ["word_000017_000075"], "alak": "ἐγώ — Ω", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000075"], "alak": "א—ת", "nyelv": "heb", "extra": false}	vitas	nem	nem
word_000017_000086	word_000017_000086,word_000017_000087,word_000017_000088	17	[420, 498, 594, 539]	éys — 2,	{"szo_ids": ["word_000017_000086", "word_000017_000087", "word_000017_000088"], "alak": "ἐγώ — Ω", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000086"], "alak": "ἐγώ", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000088"], "alak": "Ω", "nyelv": "grc", "extra": true}]	vitas	nem	nem
word_000017_000200	word_000017_000200	17	[726, 993, 854, 1034]	Buvacos	{"szo_ids": ["word_000017_000200"], "alak": "βυσσός", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000200"], "alak": "βυσσός", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000203	word_000017_000203	17	[1004, 994, 1114, 1035]	Buds,	{"szo_ids": ["word_000017_000203"], "alak": "βυθός", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000203"], "alak": "βυθός", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000213	word_000017_000213	17	[716, 1050, 864, 1089]	d8uccov	{"szo_ids": ["word_000017_000213"], "alak": "δέμαυσον", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000213"], "alak": "ἄβυσσον", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000215	word_000017_000215	17	[1058, 1050, 1167, 1090]	BaOos,	{"szo_ids": ["word_000017_000215"], "alak": "βάθος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000215"], "alak": "βάθος", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000217	word_000017_000217	17	[1290, 1053, 1434, 1087]	mTodTos,	{"szo_ids": ["word_000017_000217"], "alak": "πλοῦτος", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000217"], "alak": "πλοῦτος", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000218	word_000017_000218	17	[1453, 1053, 1593, 1093]	tpayya.	{"szo_ids": ["word_000017_000218"], "alak": "πρᾶγμα", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000218"], "alak": "πρᾶγμα", "nyelv": "grc", "extra": false}	auto	igen	nem
word_000017_000224	word_000017_000224	17	[415, 1104, 570, 1144]	&Bvacos,	{"szo_ids": ["word_000017_000224"], "alak": "ἀβύσσου", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000224"], "alak": "ἄβυσσος", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000246	word_000017_000246,word_000017_000247,word_000017_000248,word_000017_000249	17	[1272, 1160, 1827, 1204]	yottw KxarirOes eis pédatvay	{"szo_ids": ["word_000017_000246", "word_000017_000247", "word_000017_000248", "word_000017_000249"], "alak": "χοῦτω κατῆλθες εἰς μέλαιναν Πλουτέως ἀβύσσου", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000246"], "alak": "χοὔτω", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000247"], "alak": "κατῆλθες", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000248"], "alak": "εἰς", "nyelv": "grc", "extra": true}, {"szo_ids": ["word_000017_000249"], "alak": "μέλαιναν", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000269	word_000017_000269	17	[385, 1272, 484, 1303]	LXX.	{"szo_ids": ["word_000017_000269"], "alak": "LXX", "nyelv": "grc", "extra": false}		hianyzo_m1	nem	nem
word_000017_000271	word_000017_000271	17	[540, 1270, 620, 1314]	inn,	{"szo_ids": ["word_000017_000271"], "alak": "διηγ.", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000271"], "alak": "תְּהוֹם", "nyelv": "heb", "extra": false}	vitas	nem	nem
word_000017_000311	word_000017_000311,word_000017_000312,word_000017_000313	17	[356, 1380, 734, 1424]	tddrav wrHO0s modv)	{"szo_ids": ["word_000017_000311", "word_000017_000312", "word_000017_000313"], "alak": "τὸ πέραν τῆς θαλάσσης", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000311"], "alak": "ὑδάτων", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000312"], "alak": "πλῆθος", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000313"], "alak": "πολύ", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000337	word_000017_000337	17	[881, 1435, 1026, 1475]	dGvaco	{"szo_ids": ["word_000017_000337"], "alak": "ἀβύσσου", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000337"], "alak": "ἄβυσσοι", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000348	word_000017_000348,word_000017_000349,word_000017_000350,word_000017_000351	17	[207, 1490, 696, 1531]	Bicetat eis thy &Bvocov;	{"szo_ids": ["word_000017_000348", "word_000017_000349", "word_000017_000350", "word_000017_000351"], "alak": "τοῦτό εἰς τὴν ἀβύσσου", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000349"], "alak": "εἰς", "nyelv": "grc", "extra": true}, {"szo_ids": ["word_000017_000350"], "alak": "τὴν", "nyelv": "grc", "extra": true}, {"szo_ids": ["word_000017_000351"], "alak": "ἄβυσσον", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000352	word_000017_000352,word_000017_000353,word_000017_000354,word_000017_000355,word_000017_000356	17	[724, 1490, 1428, 1535]	tovréctw Xpiotov éx vexpav avayayeiv,	{"szo_ids": ["word_000017_000352", "word_000017_000353", "word_000017_000354", "word_000017_000355", "word_000017_000356"], "alak": "τοὐτέστιν Χριστὸν ἐκ νεκρῶν ἀναγαγεῖν", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000352"], "alak": "τουτέστιν", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000353"], "alak": "Χριστὸν", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000354"], "alak": "ἐκ", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000355"], "alak": "νεκρῶν", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000356"], "alak": "ἀναγαγεῖν", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000402	word_000017_000402,word_000017_000403	17	[1007, 1645, 1180, 1700]	0°] nayrby	{"szo_ids": ["word_000017_000402"], "alak": "ὁ Θεός", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000402", "word_000017_000403"], "alak": "אֶל־עֵבֶר הַיָּם", "nyelv": "heb", "extra": false}	vitas	nem	nem
word_000017_000405	word_000017_000405,word_000017_000406,word_000017_000407,word_000017_000408,word_000017_000409	17	[1343, 1656, 1827, 1703]	els To 1répay THs Oardoons),	{"szo_ids": ["word_000017_000405", "word_000017_000406", "word_000017_000407", "word_000017_000408", "word_000017_000409"], "alak": "ἐις τὸ πέραν τῆς θαλάσσης", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000405"], "alak": "εἰς", "nyelv": "grc", "extra": true}, {"szo_ids": ["word_000017_000406"], "alak": "τὸ", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000407"], "alak": "πέραν", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000408"], "alak": "τῆς", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000409"], "alak": "θαλάσσης", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000415	word_000017_000415	17	[811, 1711, 958, 1749]	d@vacos	{"szo_ids": ["word_000017_000415"], "alak": "ἀβύσσου", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000415"], "alak": "ἄβυσσος", "nyelv": "grc", "extra": false}	vitas	nem	nem
word_000017_000442	word_000017_000442,word_000017_000443,word_000017_000444	17	[409, 1822, 721, 1862]	iroxdta Tis vis,	{"szo_ids": ["word_000017_000442", "word_000017_000443", "word_000017_000444"], "alak": "ὑποκάτω τῆς γῆς", "nyelv": "grc", "extra": false}	[{"szo_ids": ["word_000017_000442", "word_000017_000443"], "alak": "ὑποκάτω", "nyelv": "grc", "extra": false}, {"szo_ids": ["word_000017_000444"], "alak": "γῆς", "nyelv": "grc", "extra": false}]	vitas	nem	nem
word_000017_000461	word_000017_000461	17	[583, 1877, 730, 1916]	@Bvocos	{"szo_ids": ["word_000017_000461"], "alak": "ἀβύσσου", "nyelv": "grc", "extra": false}	{"szo_ids": ["word_000017_000461"], "alak": "ἄβυσσος", "nyelv": "grc", "extra": false}	vitas	nem	nem
